"","biomass","target","sp.1","sp.2","sp.3","sp.4","sp.5","sp.6","sp.7"
"1",6.40217383660062,"1",1,0,0,0,0,0,0
"2",3.20789099182135,"1",5,0,0,0,0,0,0
"3",1.97426956806206,"1",10,0,0,0,0,0,0
"4",0.913255059499188,"1",25,0,0,0,0,0,0
"5",0.481838982000782,"1",50,0,0,0,0,0,0
"6",0.326543490327302,"1",75,0,0,0,0,0,0
"7",0.239956593265217,"1",100,0,0,0,0,0,0
"8",0.142411688324025,"1",175,0,0,0,0,0,0
"9",0.102022007147487,"1",250,0,0,0,0,0,0
"10",7.26062964684342,"1",0,1,0,0,0,0,0
"11",4.5717020761536,"1",0,5,0,0,0,0,0
"12",3.17333137450186,"1",0,10,0,0,0,0,0
"13",1.63562781912975,"1",0,25,0,0,0,0,0
"14",0.903125471908538,"1",0,50,0,0,0,0,0
"15",0.621604773635486,"1",0,75,0,0,0,0,0
"16",0.468773337945144,"1",0,100,0,0,0,0,0
"17",0.280410694969677,"1",0,175,0,0,0,0,0
"18",0.196347819119908,"1",0,250,0,0,0,0,0
"19",6.88236441650013,"1",0,0,1,0,0,0,0
"20",3.89079298295456,"1",0,0,5,0,0,0,0
"21",2.61799163065475,"1",0,0,10,0,0,0,0
"22",1.25963785195141,"1",0,0,25,0,0,0,0
"23",0.68790638948912,"1",0,0,50,0,0,0,0
"24",0.468529992252842,"1",0,0,75,0,0,0,0
"25",0.355565734750124,"1",0,0,100,0,0,0,0
"26",0.207809058200506,"1",0,0,175,0,0,0,0
"27",0.149796788794129,"1",0,0,250,0,0,0,0
"28",6.48872920102279,"1",0,0,0,1,0,0,0
"29",3.37728793449272,"1",0,0,0,5,0,0,0
"30",2.09701953641397,"1",0,0,0,10,0,0,0
"31",0.981811362557966,"1",0,0,0,25,0,0,0
"32",0.526671102335315,"1",0,0,0,50,0,0,0
"33",0.362415359497597,"1",0,0,0,75,0,0,0
"34",0.27555885391572,"1",0,0,0,100,0,0,0
"35",0.157381247125805,"1",0,0,0,175,0,0,0
"36",0.111355250862335,"1",0,0,0,250,0,0,0
"37",4.40996248854794,"1",0,0,0,0,1,0,0
"38",1.49236257231563,"1",0,0,0,0,5,0,0
"39",0.811308294408666,"1",0,0,0,0,10,0,0
"40",0.343843936939271,"1",0,0,0,0,25,0,0
"41",0.175246445037651,"1",0,0,0,0,50,0,0
"42",0.119513007774876,"1",0,0,0,0,75,0,0
"43",0.0886084814423744,"1",0,0,0,0,100,0,0
"44",0.0515363796614885,"1",0,0,0,0,175,0,0
"45",0.0355416474496167,"1",0,0,0,0,250,0,0
"46",4.47969858090848,"1",0,0,0,0,0,1,0
"47",1.54562731547268,"1",0,0,0,0,0,5,0
"48",0.85178855995649,"1",0,0,0,0,0,10,0
"49",0.360772698987292,"1",0,0,0,0,0,25,0
"50",0.181884764925983,"1",0,0,0,0,0,50,0
"51",0.123659474068718,"1",0,0,0,0,0,75,0
"52",0.0931032685833163,"1",0,0,0,0,0,100,0
"53",0.0531786358740465,"1",0,0,0,0,0,175,0
"54",0.0379165702961201,"1",0,0,0,0,0,250,0
"55",5.15119170210975,"1",0,0,0,0,0,0,1
"56",1.94819075269842,"1",0,0,0,0,0,0,5
"57",1.08766549182764,"1",0,0,0,0,0,0,10
"58",0.472105054996727,"1",0,0,0,0,0,0,25
